date,zone,rainfall_mm
1/1/2015 12:00,Colombo,20.155764
1/1/2015 12:00,Dehiwala,20.155764
1/1/2015 12:00,Homagama,20.433462
1/1/2015 12:00,Kaduwela,22.438145
1/1/2015 12:00,Kesbewa,16.749
1/1/2015 12:00,Kolonnawa,20.155764
1/1/2015 12:00,Maharagama,20.155764
1/1/2015 12:00,Moratuwa,16.749
1/1/2015 12:00,Padukka,24.343945
1/1/2015 12:00,Ratmalana,16.749
1/1/2015 12:00,Seethawaka,29.479301
1/1/2015 12:00,Sri Jayawardanapura Kotte,20.155764
1/1/2015 12:00,Thimbirigasyaya,20.155764
1/2/2015 12:00,Colombo,0.35011768
1/2/2015 12:00,Dehiwala,0.35011768
1/2/2015 12:00,Homagama,0.7558465
1/2/2015 12:00,Kaduwela,0.75280666
1/2/2015 12:00,Kesbewa,0.44381618
1/2/2015 12:00,Kolonnawa,0.35011768
1/2/2015 12:00,Maharagama,0.35011768
1/2/2015 12:00,Moratuwa,0.44381618
1/2/2015 12:00,Padukka,1.3902783
1/2/2015 12:00,Ratmalana,0.44381618
1/2/2015 12:00,Seethawaka,1.4707446
1/2/2015 12:00,Sri Jayawardanapura Kotte,0.35011768
1/2/2015 12:00,Thimbirigasyaya,0.35011768
1/3/2015 12:00,Colombo,0.06176306
1/3/2015 12:00,Dehiwala,0.06176306
1/3/2015 12:00,Homagama,0.06176306
1/3/2015 12:00,Kaduwela,0.06176306
1/3/2015 12:00,Kesbewa,0.06176306
1/3/2015 12:00,Kolonnawa,0.06176306
1/3/2015 12:00,Maharagama,0.06176306
1/3/2015 12:00,Moratuwa,0.06176306
1/3/2015 12:00,Padukka,0.58863837
1/3/2015 12:00,Ratmalana,0.06176306
1/3/2015 12:00,Seethawaka,0.63575584
1/3/2015 12:00,Sri Jayawardanapura Kotte,0.06176306
1/3/2015 12:00,Thimbirigasyaya,0.06176306
1/4/2015 12:00,Colombo,0.7515907
1/4/2015 12:00,Dehiwala,0.7515907
1/4/2015 12:00,Homagama,0.73066956
1/4/2015 12:00,Kaduwela,0.62892437
1/4/2015 12:00,Kesbewa,0.79271793
1/4/2015 12:00,Kolonnawa,0.7515907
1/4/2015 12:00,Maharagama,0.7515907
1/4/2015 12:00,Moratuwa,0.79271793
1/4/2015 12:00,Padukka,5.3059816
1/4/2015 12:00,Ratmalana,0.79271793
1/4/2015 12:00,Seethawaka,4.160857
1/4/2015 12:00,Sri Jayawardanapura Kotte,0.7515907
1/4/2015 12:00,Thimbirigasyaya,0.7515907
1/5/2015 12:00,Colombo,21.842623
1/5/2015 12:00,Dehiwala,21.842623
1/5/2015 12:00,Homagama,26.002728
1/5/2015 12:00,Kaduwela,24.858498
1/5/2015 12:00,Kesbewa,23.325706
1/5/2015 12:00,Kolonnawa,21.842623
1/5/2015 12:00,Maharagama,21.842623
1/5/2015 12:00,Moratuwa,23.325706
1/5/2015 12:00,Padukka,34.500145
1/5/2015 12:00,Ratmalana,23.325706
1/5/2015 12:00,Seethawaka,29.896938
1/5/2015 12:00,Sri Jayawardanapura Kotte,21.842623
1/5/2015 12:00,Thimbirigasyaya,21.842623
1/6/2015 12:00,Colombo,24.644136
1/6/2015 12:00,Dehiwala,24.644136
1/6/2015 12:00,Homagama,20.184158
1/6/2015 12:00,Kaduwela,21.003841
1/6/2015 12:00,Kesbewa,22.796272
1/6/2015 12:00,Kolonnawa,24.644136
1/6/2015 12:00,Maharagama,24.644136
1/6/2015 12:00,Moratuwa,22.796272
1/6/2015 12:00,Padukka,29.531479
1/6/2015 12:00,Ratmalana,22.796272
1/6/2015 12:00,Seethawaka,21.814764
1/6/2015 12:00,Sri Jayawardanapura Kotte,24.644136
1/6/2015 12:00,Thimbirigasyaya,24.644136
1/7/2015 12:00,Colombo,0.076746926
1/7/2015 12:00,Dehiwala,0.076746926
1/7/2015 12:00,Homagama,0.4238248
1/7/2015 12:00,Kaduwela,0.1443386
1/7/2015 12:00,Kesbewa,0.44939518
1/7/2015 12:00,Kolonnawa,0.076746926
1/7/2015 12:00,Maharagama,0.076746926
1/7/2015 12:00,Moratuwa,0.44939518
1/7/2015 12:00,Padukka,4.8398137
1/7/2015 12:00,Ratmalana,0.44939518
1/7/2015 12:00,Seethawaka,1.0949135
1/7/2015 12:00,Sri Jayawardanapura Kotte,0.076746926
1/7/2015 12:00,Thimbirigasyaya,0.076746926
1/8/2015 12:00,Colombo,0.010442731
1/8/2015 12:00,Dehiwala,0.010442731
1/8/2015 12:00,Homagama,0.010442731
1/8/2015 12:00,Kaduwela,0.010442731
1/8/2015 12:00,Kesbewa,0.010442731
1/8/2015 12:00,Kolonnawa,0.010442731
1/8/2015 12:00,Maharagama,0.010442731
1/8/2015 12:00,Moratuwa,0.010442731
