date,zone,temp_celsius
1/1/2015 12:00,Colombo,27.144928
1/1/2015 12:00,Dehiwala,27.144928
1/1/2015 12:00,Homagama,26.995514
1/1/2015 12:00,Kaduwela,26.898834
1/1/2015 12:00,Kesbewa,27.217194
1/1/2015 12:00,Kolonnawa,27.144928
1/1/2015 12:00,Maharagama,27.144928
1/1/2015 12:00,Moratuwa,27.217194
1/1/2015 12:00,Padukka,26.365631
1/1/2015 12:00,Ratmalana,27.217194
1/1/2015 12:00,Seethawaka,26.273834
1/1/2015 12:00,Sri Jayawardanapura Kotte,27.144928
1/1/2015 12:00,Thimbirigasyaya,27.144928
1/2/2015 12:00,Colombo,27.40512
1/2/2015 12:00,Dehiwala,27.40512
1/2/2015 12:00,Homagama,27.44516
1/2/2015 12:00,Kaduwela,27.40512
1/2/2015 12:00,Kesbewa,27.471527
1/2/2015 12:00,Kolonnawa,27.40512
1/2/2015 12:00,Maharagama,27.40512
1/2/2015 12:00,Moratuwa,27.471527
1/2/2015 12:00,Padukka,26.943207
1/2/2015 12:00,Ratmalana,27.471527
1/2/2015 12:00,Seethawaka,26.999847
1/2/2015 12:00,Sri Jayawardanapura Kotte,27.40512
1/2/2015 12:00,Thimbirigasyaya,27.40512
1/3/2015 12:00,Colombo,27.601562
1/3/2015 12:00,Dehiwala,27.601562
1/3/2015 12:00,Homagama,27.854492
1/3/2015 12:00,Kaduwela,27.886719
1/3/2015 12:00,Kesbewa,27.597656
1/3/2015 12:00,Kolonnawa,27.601562
1/3/2015 12:00,Maharagama,27.601562
1/3/2015 12:00,Moratuwa,27.597656
1/3/2015 12:00,Padukka,27.753906
1/3/2015 12:00,Ratmalana,27.597656
1/3/2015 12:00,Seethawaka,27.957031
1/3/2015 12:00,Sri Jayawardanapura Kotte,27.601562
1/3/2015 12:00,Thimbirigasyaya,27.601562
1/4/2015 12:00,Colombo,27.826996
1/4/2015 12:00,Dehiwala,27.826996
1/4/2015 12:00,Homagama,27.956879
1/4/2015 12:00,Kaduwela,28.008636
1/4/2015 12:00,Kesbewa,27.772308
1/4/2015 12:00,Kolonnawa,27.826996
1/4/2015 12:00,Maharagama,27.826996
1/4/2015 12:00,Moratuwa,27.772308
1/4/2015 12:00,Padukka,27.647308
1/4/2015 12:00,Ratmalana,27.772308
1/4/2015 12:00,Seethawaka,27.862152
1/4/2015 12:00,Sri Jayawardanapura Kotte,27.826996
1/4/2015 12:00,Thimbirigasyaya,27.826996
1/5/2015 12:00,Colombo,28.333405
1/5/2015 12:00,Dehiwala,28.333405
1/5/2015 12:00,Homagama,28.088287
1/5/2015 12:00,Kaduwela,28.251373
1/5/2015 12:00,Kesbewa,28.026764
1/5/2015 12:00,Kolonnawa,28.333405
1/5/2015 12:00,Maharagama,28.333405
1/5/2015 12:00,Moratuwa,28.026764
1/5/2015 12:00,Padukka,27.347076
1/5/2015 12:00,Ratmalana,28.026764
1/5/2015 12:00,Seethawaka,27.763092
1/5/2015 12:00,Sri Jayawardanapura Kotte,28.333405
1/5/2015 12:00,Thimbirigasyaya,28.333405
1/6/2015 12:00,Colombo,28.017853
1/6/2015 12:00,Dehiwala,28.017853
1/6/2015 12:00,Homagama,28.105743
1/6/2015 12:00,Kaduwela,28.053009
1/6/2015 12:00,Kesbewa,28.19168
1/6/2015 12:00,Kolonnawa,28.017853
1/6/2015 12:00,Maharagama,28.017853
1/6/2015 12:00,Moratuwa,28.19168
1/6/2015 12:00,Padukka,27.519806
1/6/2015 12:00,Ratmalana,28.19168
1/6/2015 12:00,Seethawaka,27.653595
1/6/2015 12:00,Sri Jayawardanapura Kotte,28.017853
1/6/2015 12:00,Thimbirigasyaya,28.017853
1/7/2015 12:00,Colombo,27.871368
1/7/2015 12:00,Dehiwala,27.871368
1/7/2015 12:00,Homagama,27.896759
1/7/2015 12:00,Kaduwela,27.867462
1/7/2015 12:00,Kesbewa,27.88504
1/7/2015 12:00,Kolonnawa,27.871368
1/7/2015 12:00,Maharagama,27.871368
1/7/2015 12:00,Moratuwa,27.88504
1/7/2015 12:00,Padukka,27.337189
1/7/2015 12:00,Ratmalana,27.88504
1/7/2015 12:00,Seethawaka,27.38797
1/7/2015 12:00,Sri Jayawardanapura Kotte,27.871368
1/7/2015 12:00,Thimbirigasyaya,27.871368
1/8/2015 12:00,Colombo,28.464386
1/8/2015 12:00,Dehiwala,28.464386
1/8/2015 12:00,Homagama,28.496613
1/8/2015 12:00,Kaduwela,28.519073
1/8/2015 12:00,Kesbewa,28.36673
1/8/2015 12:00,Kolonnawa,28.464386
1/8/2015 12:00,Maharagama,28.464386
1/8/2015 12:00,Moratuwa,28.36673
1/8/2015 12:00,Padukka,27.77298
1/8/2015 12:00,Ratmalana,28.36673
1/8/2015 12:00,Seethawaka,27.92923
1/8/2015 12:00,Sri Jayawardanapura Kotte,28.464386
1/8/2015 12:00,Thimbirigasyaya,28.464386
1/9/2015 12:00,Colombo,28.733368
1/9/2015 12:00,Dehiwala,28.733368
1/9/2015 12:00,Homagama,28.699188
1/9/2015 12:00,Kaduwela,28.694305
1/9/2015 12:00,Kesbewa,28.6279
1/9/2015 12:00,Kolonnawa,28.733368
1/9/2015 12:00,Maharagama,28.733368
1/9/2015 12:00,Moratuwa,28.6279
1/9/2015 12:00,Padukka,27.770477
1/9/2015 12:00,Ratmalana,28.6279
1/9/2015 12:00,Seethawaka,27.912079
1/9/2015 12:00,Sri Jayawardanapura Kotte,28.733368
1/9/2015 12:00,Thimbirigasyaya,28.733368
1/10/2015 12:00,Colombo,28.456085
1/10/2015 12:00,Dehiwala,28.456085
1/10/2015 12:00,Homagama,28.473663
1/10/2015 12:00,Kaduwela,28.319366
1/10/2015 12:00,Kesbewa,28.698273
1/10/2015 12:00,Kolonnawa,28.456085
1/10/2015 12:00,Maharagama,28.456085
1/10/2015 12:00,Moratuwa,28.698273
1/10/2015 12:00,Padukka,27.603546
1/10/2015 12:00,Ratmalana,28.698273
1/10/2015 12:00,Seethawaka,27.513702
1/10/2015 12:00,Sri Jayawardanapura Kotte,28.456085
1/10/2015 12:00,Thimbirigasyaya,28.456085
1/11/2015 12:00,Colombo,27.658966
1/11/2015 12:00,Dehiwala,27.658966
