TotalInfections,TotalBites,TotalImports
120647,17,0
120477,13,0
121210,35,0
120031,28,0
120482,38,0
120947,24,0
120714,20,40
121852,36,20
119168,30,0
121178,34,0
121834,41,0
121301,19,0
119452,39,0
121428,43,0
121199,45,0
122500,11,0
122409,34,0
121507,29,0
121854,43,0
119484,25,0
121336,31,20
121683,45,0
121000,21,0
121650,26,40
120474,18,0
120075,19,0
121661,31,0
121107,24,0
120997,36,0
122067,35,0
120185,38,0
121755,48,20
120795,32,0
122392,27,0
122304,40,0
120831,28,0
119478,22,0
122213,16,0
122551,48,0
121555,29,0
119033,13,0
122833,44,0
121133,39,0
122766,35,0
120936,37,0
121076,40,0
119863,24,0
121099,38,0
121087,22,40
120848,41,0
