CommutingShare,TotalInfections,Maharagama,Seethawaka,Homagama,Kesbewa,Sri Jayawardanapura Kotte,Kaduwela,Padukka,Moratuwa,Colombo,Ratmalana,Thimbirigasyaya,Dehiwala,Kolonnawa
0.0,120738,10093,6020,14324,13217,5079,14279,3697,8545,14904,4802,10762,4693,10232
0.0,120551,10070,5925,13987,13448,4927,13339,3930,8317,15340,4636,10404,4765,11332
0.0,121697,10405,5925,14543,13878,4749,13587,3983,8301,14440,4822,10892,4905,11132
0.0,122124,10393,6167,13966,13744,4827,14706,4136,7794,15379,4324,11033,4832,10724
0.0,121346,9507,5921,14613,13440,4782,15058,3667,8126,15459,4301,10517,4811,11005
0.0,122096,9017,5720,14801,14105,4894,14122,3977,8838,15099,4527,11142,5017,10716
0.0,119779,10240,6547,13771,12561,5224,12382,3653,8079,15494,4474,11225,4871,11134
0.0,121344,9866,6693,14499,13460,4901,13659,3741,7411,14499,4754,11388,5144,11196
0.0,121723,9643,6044,13657,13357,5337,14440,4026,8094,14625,4518,11575,4873,11406
0.0,121198,10018,5925,13696,13725,4895,13863,3472,8166,15510,4445,10849,4892,11625
0.2,119756,9944,6925,12449,12961,5704,12665,5238,8593,12809,5060,10221,6178,10885
0.2,123151,10006,7276,12975,12664,5867,12150,5560,8999,13487,5919,11190,6127,10803
0.2,120823,9665,6785,12312,12453,5648,13043,5696,8362,14053,5603,10721,5950,10417
0.2,120980,9992,6333,13545,11981,6136,12377,5029,8459,13881,5720,10803,5581,11018
0.2,120858,9935,6921,13216,11215,6508,13394,4825,8367,12877,5602,11207,5781,10881
0.2,121040,10047,6539,12340,12374,6362,13010,5351,8565,13119,5860,10370,6240,10748
0.2,122320,9772,7396,13160,12630,6507,13045,5053,8574,13342,5362,10952,5967,10442
0.2,120685,9632,6452,13738,12113,6361,13281,5245,8113,13630,5600,9452,6206,10741
0.2,121191,9937,7132,13173,12373,5682,13082,4939,8242,14061,5580,10354,6107,10397
0.2,122278,10341,6688,13418,12082,6397,13033,5078,7991,13671,5874,10618,6394,10594
0.378,120540,9574,7459,12143,11115,7310,11851,6231,8628,12101,6908,10728,6548,9822
0.378,123455,9840,7468,11992,11499,6908,12203,6403,8700,12867,7307,10394,7220,10541
0.378,120874,9604,7733,11896,11103,7227,12026,6181,8895,11436,6937,10098,7216,10402
0.378,120675,10058,7537,12019,11780,7250,11865,5989,8152,12241,6537,10499,7407,9203
0.378,121341,9625,7259,12340,11858,7621,12245,6380,8298,11901,6678,9965,7002,10037
0.378,120999,9825,7341,12165,10624,6913,11634,6329,8808,12559,7387,10393,6660,10253
0.378,119796,10227,7251,11218,11440,6838,11359,6331,8891,12460,6521,9229,7166,10733
0.378,121410,10078,7079,11072,11129,7331,11992,6345,8521,12175,7337,11391,6848,10008
0.378,121420,8788,7749,11767,11534,7302,11754,6232,9108,12435,6548,10466,7559,10049
0.378,121346,9845,7994,11852,11732,6851,11383,6473,8316,12146,6609,10623,7054,10356
0.5,122249,9851,7807,11096,11227,7940,11612,7164,9185,11560,7770,9375,7290,10225
0.5,121628,9209,8233,11185,10894,7968,11477,6754,9196,11653,7664,9891,7628,9775
0.5,121386,9785,8231,10963,10434,7891,11343,6867,8532,11485,6971,10749,8093,9913
0.5,122260,9834,8437,11332,11149,8273,10431,6699,9473,11695,7444,9667,7880,9828
0.5,120856,9241,7793,10776,10819,7897,10822,6825,9147,11284,8400,10141,7733,9854
0.5,122802,9065,8134,11322,10776,7699,11358,7204,9372,11540,7596,10060,7844,10718
0.5,119614,9542,7797,10671,11138,7454,10529,6857,8790,11108,7785,10325,7845,9664
0.5,122108,9832,7554,11184,11372,7462,11177,6735,9198,11531,8116,10460,7170,10215
0.5,121435,9551,7674,10309,10334,8039,11730,7602,9061,11458,7742,10436,7509,9877
0.5,122525,9331,8228,11295,10755,8031,11000,7061,9150,11823,7934,9859,8215,9716
0.0,120707,10307,6223,14245,13925,4848,13283,3650,7521,15229,4376,10828,4971,11185
0.0,121451,9959,5855,14413,12951,5084,14456,3572,7859,15160,4880,11645,4791,10708
0.0,120688,10188,6461,14957,13490,5063,13789,3916,7713,14397,4194,10785,5017,10614
0.0,121898,10450,5631,14522,13089,5010,14199,3662,8572,14871,4713,11608,4901,10547
0.0,122613,10024,5831,14601,13518,4606,14922,3880,8528,15114,4311,10719,4897,11537
0.0,120376,10156,6146,14235,12898,5053,14100,3836,7553,14133,4390,11122,4822,11782
0.0,120505,10417,6362,13809,13243,4712,13614,3929,8757,14527,3958,11157,4489,11416
0.0,120829,9760,6209,13903,13231,4654,13877,3760,7810,14821,4922,11552,5244,10991
0.0,122255,10415,6310,14851,11962,5290,14085,3499,8653,15294,4590,11695,5010,10484
0.0,121267,9593,5842,14750,13074,4881,14111,3713,8369,14751,4415,11064,4942,11637
0.2,120878,9897,7230,13603,12654,5988,12813,5153,8299,12925,5701,11018,5780,9701
0.2,121455,10025,6742,12782,11980,6303,12731,5383,8866,13627,5681,10219,6004,10991
0.2,119567,9162,6857,12984,12257,6083,12416,4851,7884,13719,5749,10499,6076,10893
0.2,122134,10126,6603,13127,13005,6121,12389,5229,8534,14384,5867,10328,5886,10409
0.2,120802,9796,6661,12836,12578,6083,12656,4968,8326,13028,6003,10797,5988,10966
0.2,122883,10112,6904,13366,12556,5978,12629,5255,8226,13913,5544,11125,5945,11193
0.2,121382,10030,7019,12972,11876,6167,12665,4889,8587,13544,5746,11409,5663,10681
0.2,119063,9966,6564,12921,12108,6032,12894,5041,8597,13360,5894,10108,5620,9835
0.2,121714,9670,6906,12984,12168,5883,13355,4925,8852,13458,5830,10590,6079,10888
0.2,120644,9264,7002,12920,12241,6073,12850,5119,8562,13523,5985,10368,6421,10197
0.378,122361,9917,8055,11632,11768,7369,11993,6349,8767,11887,6771,11009,6973,9739
0.378,121874,10204,7577,12351,10816,7075,11445,6818,8473,11312,6867,10805,7146,10866
0.378,120397,9895,7196,11961,11337,6728,11197,6331,8910,12716,6940,10216,6949,9889
0.378,122351,10062,7959,10873,11632,7226,12242,6641,9240,12864,6848,10179,6393,10071
0.378,120313,9759,7708,11509,11016,6664,11321,6186,8867,12707,6373,10314,7011,10756
0.378,121787,9654,7416,11766,11400,7349,12009,6234,8969,12081,7063,10493,6631,10617
0.378,121033,9750,7509,11567,10910,6944,11905,6641,9085,11690,7211,10297,6936,10481
0.378,123267,9735,7289,12262,12007,7020,11950,7006,8900,12584,6823,10232,7010,10332
0.378,120533,10344,7841,11506,11344,6941,10631,6638,8786,12009,6946,9964,7284,10196
0.378,121732,9481,7479,11924,11056,6857,11988,6568,9020,12164,7369,10320,6986,10413
0.5,122429,9723,7998,10707,11644,7514,11042,7707,8761,11552,7701,9672,8124,10177
0.5,121021,9173,8420,11093,10774,7611,10564,6982,8662,11397,7623,10136,7868,10588
0.5,121724,9683,7528,11465,11441,7907,10950,7466,8388,11986,6959,10041,7571,10217
0.5,120999,9466,8205,10212,11005,7436,10452,7356,8084,11883,7984,10112,7907,10797
0.5,120459,9778,8229,11222,10288,8043,11069,7032,8525,11329,6793,9859,8135,10068
0.5,120483,9426,8111,11332,10208,7705,10778,6958,8987,11351,7418,10520,7501,10073
0.5,122775,10185,7741,11183,10686,7906,11514,6878,8839,11281,7607,10541,8099,10206
0.5,121037,9261,7820,10845,11051,7944,11132,7551,8206,11619,7894,9593,7487,10536
0.5,122011,9258,7860,10799,10978,8142,10882,7407,9233,11541,7655,10332,7667,10133
0.5,121268,9493,8180,11259,10568,7604,10865,7155,9185,11822,7939,9830,7572,9669
0.0,120372,10282,5608,14150,13696,4999,13277,3926,8005,13774,4547,11741,5088,11166
0.0,121795,10065,5883,13931,13537,5190,14270,3826,8578,14622,4426,11035,4517,11793
0.0,120794,9870,6436,14634,13379,5025,13700,3789,8181,14348,4537,10731,4917,11106
0.0,121716,10036,6314,14361,12969,4988,13071,3549,8820,15191,4788,11069,5224,11204
0.0,122586,9864,6176,14286,13872,4799,13366,3870,8483,14973,5142,11620,4864,11163
0.0,120788,9543,5781,13940,12816,4620,14925,4072,8387,15013,4305,11434,4917,10910
0.0,120347,9950,6332,14452,12815,4771,14077,3594,8393,15336,4309,9787,4896,11509
0.0,120153,10009,6105,13618,13658,4920,13556,3892,8278,15603,4466,11369,4508,10076
0.0,119930,10532,5909,13054,13179,4952,13591,3663,8281,14921,5105,11165,5074,10387
0.0,121796,10868,6024,14783,13043,4914,14784,3968,8258,14294,4749,10341,4721,10910
0.2,120221,10268,6524,13516,12556,6015,12500,4960,8573,13608,5957,10400,6079,9145
0.2,121077,10124,7032,12626,12719,5709,13322,5063,8454,13508,5652,10226,6298,10237
0.2,120010,9527,6980,13173,12489,6189,13079,4921,8239,12929,5725,10233,6014,10395
