WeatherYear,TotalInfections,Zone,ZoneInfections
2017,119993,Maharagama,9927
2017,119993,Seethawaka,7502
2017,119993,Homagama,12229
2017,119993,Kesbewa,11395
2017,119993,Sri Jayawardanapura Kotte,6933
2017,119993,Kaduwela,10383
2017,119993,Padukka,6369
2017,119993,Moratuwa,8976
2017,119993,Colombo,12697
2017,119993,Ratmalana,6641
2017,119993,Thimbirigasyaya,10081
2017,119993,Dehiwala,7418
2017,119993,Kolonnawa,9314
2017,120489,Maharagama,9652
2017,120489,Seethawaka,7304
2017,120489,Homagama,11601
2017,120489,Kesbewa,11311
2017,120489,Sri Jayawardanapura Kotte,7004
2017,120489,Kaduwela,11744
2017,120489,Padukka,6483
2017,120489,Moratuwa,8383
2017,120489,Colombo,12545
2017,120489,Ratmalana,7189
2017,120489,Thimbirigasyaya,10272
2017,120489,Dehiwala,6657
2017,120489,Kolonnawa,10227
2017,122869,Maharagama,9941
2017,122869,Seethawaka,7587
2017,122869,Homagama,11560
2017,122869,Kesbewa,11370
2017,122869,Sri Jayawardanapura Kotte,7592
2017,122869,Kaduwela,11658
2017,122869,Padukka,6511
2017,122869,Moratuwa,9224
2017,122869,Colombo,13221
2017,122869,Ratmalana,6320
2017,122869,Thimbirigasyaya,10115
2017,122869,Dehiwala,6978
2017,122869,Kolonnawa,10660
2017,122024,Maharagama,9512
2017,122024,Seethawaka,7662
2017,122024,Homagama,11727
2017,122024,Kesbewa,11903
2017,122024,Sri Jayawardanapura Kotte,6747
2017,122024,Kaduwela,12800
2017,122024,Padukka,6843
2017,122024,Moratuwa,8687
2017,122024,Colombo,11727
2017,122024,Ratmalana,6817
2017,122024,Thimbirigasyaya,9799
2017,122024,Dehiwala,7270
2017,122024,Kolonnawa,10404
2017,122329,Maharagama,9787
2017,122329,Seethawaka,7945
2017,122329,Homagama,11611
2017,122329,Kesbewa,11716
2017,122329,Sri Jayawardanapura Kotte,6927
2017,122329,Kaduwela,12221
2017,122329,Padukka,6370
2017,122329,Moratuwa,9020
2017,122329,Colombo,11563
2017,122329,Ratmalana,6797
2017,122329,Thimbirigasyaya,10295
2017,122329,Dehiwala,7268
2017,122329,Kolonnawa,10683
2017,121500,Maharagama,9864
2017,121500,Seethawaka,7206
2017,121500,Homagama,11861
2017,121500,Kesbewa,11479
2017,121500,Sri Jayawardanapura Kotte,7167
2017,121500,Kaduwela,12220
2017,121500,Padukka,6950
2017,121500,Moratuwa,8464
2017,121500,Colombo,12226
2017,121500,Ratmalana,6617
2017,121500,Thimbirigasyaya,9749
2017,121500,Dehiwala,7582
2017,121500,Kolonnawa,9992
2017,121031,Maharagama,9545
2017,121031,Seethawaka,7894
2017,121031,Homagama,11561
2017,121031,Kesbewa,10800
2017,121031,Sri Jayawardanapura Kotte,6871
2017,121031,Kaduwela,11212
2017,121031,Padukka,6699
2017,121031,Moratuwa,8902
2017,121031,Colombo,12537
2017,121031,Ratmalana,7103
2017,121031,Thimbirigasyaya,10350
2017,121031,Dehiwala,7274
2017,121031,Kolonnawa,10158
2017,122242,Maharagama,10104
2017,122242,Seethawaka,7898
2017,122242,Homagama,12350
2017,122242,Kesbewa,10834
2017,122242,Sri Jayawardanapura Kotte,6682
2017,122242,Kaduwela,11902
2017,122242,Padukka,6528
2017,122242,Moratuwa,8706
2017,122242,Colombo,12016
2017,122242,Ratmalana,6727
2017,122242,Thimbirigasyaya,10726
2017,122242,Dehiwala,7172
2017,122242,Kolonnawa,10486
2017,121437,Maharagama,9374
2017,121437,Seethawaka,7588
2017,121437,Homagama,11363
2017,121437,Kesbewa,11845
2017,121437,Sri Jayawardanapura Kotte,7694
2017,121437,Kaduwela,12276
2017,121437,Padukka,6568
2017,121437,Moratuwa,8487
2017,121437,Colombo,12048
2017,121437,Ratmalana,7332
2017,121437,Thimbirigasyaya,9630
2017,121437,Dehiwala,6680
2017,121437,Kolonnawa,10428
2017,122723,Maharagama,10088
2017,122723,Seethawaka,7133
2017,122723,Homagama,12645
2017,122723,Kesbewa,11721
2017,122723,Sri Jayawardanapura Kotte,7623
2017,122723,Kaduwela,11831
2017,122723,Padukka,5993
2017,122723,Moratuwa,8785
2017,122723,Colombo,12428
2017,122723,Ratmalana,7274
2017,122723,Thimbirigasyaya,9631
2017,122723,Dehiwala,7178
2017,122723,Kolonnawa,10253
2019,122184,Maharagama,10183
2019,122184,Seethawaka,7720
2019,122184,Homagama,11514
2019,122184,Kesbewa,11227
2019,122184,Sri Jayawardanapura Kotte,7263
2019,122184,Kaduwela,11330
2019,122184,Padukka,6646
2019,122184,Moratuwa,8564
2019,122184,Colombo,12476
2019,122184,Ratmalana,6921
2019,122184,Thimbirigasyaya,10641
2019,122184,Dehiwala,7139
2019,122184,Kolonnawa,10437
2019,121685,Maharagama,10035
2019,121685,Seethawaka,7544
2019,121685,Homagama,11968
2019,121685,Kesbewa,11443
2019,121685,Sri Jayawardanapura Kotte,7059
2019,121685,Kaduwela,12392
2019,121685,Padukka,5918
2019,121685,Moratuwa,8823
2019,121685,Colombo,11866
2019,121685,Ratmalana,6431
2019,121685,Thimbirigasyaya,9944
2019,121685,Dehiwala,7410
2019,121685,Kolonnawa,10740
2019,120620,Maharagama,9404
2019,120620,Seethawaka,7990
2019,120620,Homagama,11500
2019,120620,Kesbewa,12017
2019,120620,Sri Jayawardanapura Kotte,6996
2019,120620,Kaduwela,11658
2019,120620,Padukka,6263
2019,120620,Moratuwa,8304
2019,120620,Colombo,11813
2019,120620,Ratmalana,7154
2019,120620,Thimbirigasyaya,10493
2019,120620,Dehiwala,6719
2019,120620,Kolonnawa,10191
2019,121032,Maharagama,9960
2019,121032,Seethawaka,7339
2019,121032,Homagama,11888
2019,121032,Kesbewa,11619
2019,121032,Sri Jayawardanapura Kotte,7352
2019,121032,Kaduwela,11332
2019,121032,Padukka,6266
2019,121032,Moratuwa,8484
2019,121032,Colombo,11709
2019,121032,Ratmalana,6914
2019,121032,Thimbirigasyaya,10814
2019,121032,Dehiwala,7275
2019,121032,Kolonnawa,9955
2019,121226,Maharagama,9110
2019,121226,Seethawaka,7488
2019,121226,Homagama,11453
2019,121226,Kesbewa,11504
2019,121226,Sri Jayawardanapura Kotte,6909
2019,121226,Kaduwela,11374
2019,121226,Padukka,6182
2019,121226,Moratuwa,8897
2019,121226,Colombo,12949
2019,121226,Ratmalana,7007
2019,121226,Thimbirigasyaya,11058
2019,121226,Dehiwala,7182
2019,121226,Kolonnawa,10004
2019,120755,Maharagama,9783
2019,120755,Seethawaka,7530
2019,120755,Homagama,11495
2019,120755,Kesbewa,11185
2019,120755,Sri Jayawardanapura Kotte,7279
2019,120755,Kaduwela,11696
2019,120755,Padukka,6477
2019,120755,Moratuwa,8853
2019,120755,Colombo,12085
2019,120755,Ratmalana,7376
2019,120755,Thimbirigasyaya,9366
2019,120755,Dehiwala,6970
2019,120755,Kolonnawa,10536
2019,119726,Maharagama,9269
2019,119726,Seethawaka,7934
2019,119726,Homagama,11940
2019,119726,Kesbewa,11865
2019,119726,Sri Jayawardanapura Kotte,7373
2019,119726,Kaduwela,11561
2019,119726,Padukka,6636
2019,119726,Moratuwa,8146
2019,119726,Colombo,12029
2019,119726,Ratmalana,7318
2019,119726,Thimbirigasyaya,8894
2019,119726,Dehiwala,6715
2019,119726,Kolonnawa,9915
2019,121057,Maharagama,10117
2019,121057,Seethawaka,7353
2019,121057,Homagama,11459
2019,121057,Kesbewa,11193
2019,121057,Sri Jayawardanapura Kotte,7168
2019,121057,Kaduwela,12185
2019,121057,Padukka,6090
2019,121057,Moratuwa,8723
2019,121057,Colombo,12385
2019,121057,Ratmalana,6668
2019,121057,Thimbirigasyaya,10330
2019,121057,Dehiwala,7079
2019,121057,Kolonnawa,10201
2019,120849,Maharagama,10300
2019,120849,Seethawaka,7521
2019,120849,Homagama,12029
2019,120849,Kesbewa,11150
2019,120849,Sri Jayawardanapura Kotte,7007
2019,120849,Kaduwela,11828
2019,120849,Padukka,6468
2019,120849,Moratuwa,8944
2019,120849,Colombo,11802
2019,120849,Ratmalana,6726
2019,120849,Thimbirigasyaya,9532
2019,120849,Dehiwala,6962
2019,120849,Kolonnawa,10466
2019,120159,Maharagama,9728
2019,120159,Seethawaka,7770
2019,120159,Homagama,11787
2019,120159,Kesbewa,12141
2019,120159,Sri Jayawardanapura Kotte,7041
2019,120159,Kaduwela,10810
2019,120159,Padukka,6712
2019,120159,Moratuwa,8743
2019,120159,Colombo,12367
2019,120159,Ratmalana,6653
2019,120159,Thimbirigasyaya,9986
2019,120159,Dehiwala,6725
2019,120159,Kolonnawa,9577
